"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"USA300HOU_1402",2186.54021837927,-0.997600510309473,0.147298925056403,-6.77262586897684,1.26465693051634e-11,3.19799674323784e-11
"USA300HOU_1403",984.941446879467,-1.46653586830569,0.154730840098897,-9.47798039077629,2.59251990588072e-21,9.46357946595641e-21
"USA300HOU_1404",999.647237512144,-1.44395824889412,0.160172540629547,-9.01501745067379,1.96839122653403e-19,6.74481949015427e-19
"USA300HOU_1405",36.356767587245,-1.62333544246667,0.465205093263837,-3.48950487854184,0.000483916225248463,0.0007807259364652
"USA300HOU_1406",1777.80974318267,-2.50297492187281,0.186445511001917,-13.4246993044905,4.33339698569527e-41,2.9066260281551e-40
"USA300HOU_1407",3309.98527174639,-1.41865651770797,0.178693018283763,-7.93907076691241,2.03701535429402e-15,5.97955382447576e-15
"USA300HOU_1408",2192.07639415896,-0.783057524741717,0.139174784068704,-5.62643247468709,1.83974756642771e-08,4.01630815356026e-08
"USA300HOU_1409",1155.34487293811,-1.14159333805162,0.148661525979237,-7.67914448968501,1.60154516136891e-14,4.49941954759453e-14
"USA300HOU_1410",114260.346122769,1.04559050302507,0.196737279076446,5.31465367384073,1.06860367946869e-07,2.22944297979353e-07
"USA300HOU_1411",8363.49967715217,-0.637528284039689,0.146807409828706,-4.34261652585216,1.40795764923348e-05,2.57151148597237e-05
"USA300HOU_1412",9803.15969164506,-0.739480604451428,0.149252503396083,-4.95456081221641,7.24938421946154e-07,1.43861670568161e-06
"USA300HOU_1413",35775.6881562744,2.71869862279663,0.142287529019606,19.1070759435425,2.20482088511852e-81,3.32333395211966e-80
"USA300HOU_1414",32.7188903366527,-0.162431607651814,0.436740355154163,-0.37191801887526,0.709953888833712,0.750571592346022
"USA300HOU_1415",1321.12334847514,-0.232872405321324,0.146054538887432,-1.59442087247151,0.110841800526603,0.137488927791436
"USA300HOU_1416",948.250803693512,-0.259628910725289,0.149273514030415,-1.73928317030434,0.0819849661382109,0.103904423310732
"USA300HOU_1417",4113.25021209792,1.60224859999535,0.156228980542,10.2557706927147,1.11483085524466e-24,4.53883336057879e-24
"USA300HOU_1418",61.8020404286481,1.29996075046783,0.377092917822233,3.44732210293232,0.000566173134606574,0.000909606299490681
"USA300HOU_1419",17542.628900844,2.67363814434895,0.137009015727213,19.5143226900644,8.2961276977355e-85,1.34087413331472e-83
"USA300HOU_1420",1604.95810613479,0.0988492172443344,0.144858394487756,0.682385149952006,0.49499544329136,0.547433130400131
"USA300HOU_1421",1672.93521053067,-0.609953721938082,0.140586537024599,-4.33863536898526,1.43370164778402e-05,2.61674933401668e-05
"USA300HOU_1422",1726.32522997748,-0.177466460302966,0.158211225203682,-1.12170587184629,0.261987519112545,0.306413475928055
"USA300HOU_1423",4313.73242266398,1.33829813641167,0.139495025903653,9.59387711312377,8.48357904445462e-22,3.16570828599051e-21
"USA300HOU_1424",69.0279404334279,-0.612402779425201,0.315063675559615,-1.94374289050444,0.0519264636694547,0.0675648409433302
"USA300HOU_1425",189.102556098553,0.232435316774948,0.226423100055893,1.0265530182988,0.304630986322996,0.350996289495297
"USA300HOU_1426",12.5803599802805,-0.924338565280019,0.742524326584797,-1.24485963918713,0.213183349109815,0.252972545626551
"USA300HOU_1427",55.2372703021592,0.0368640651964338,0.3997656737147,0.0922141835087684,0.926527869249996,0.9373583232269
"USA300HOU_1428",46.0391945227549,-0.206004140495381,0.386546225884559,-0.532935330112119,0.594078347566738,0.642965795289052
"USA300HOU_1430",334.901569555409,0.984740448752868,0.207911853051573,4.73633626125491,2.17616406143011e-06,4.19142008386001e-06
"USA300HOU_1431",271.633049050416,0.8132684655216,0.20415995543525,3.98348669202923,6.7911476200506e-05,0.000117704451321678
"USA300HOU_1432",63.8491697860932,0.945805721827812,0.378945658011014,2.49588747577185,0.0125642450434518,0.0177327035515945
"USA300HOU_1433",4.96673308097796,1.94869593029054,1.20745885287586,1.6138818524948,0.106553055680476,0.132659790436528
"USA300HOU_1434",29.5902952582793,1.58366769021756,0.488829918058325,3.23971105636911,0.00119650879771244,0.00187513615903182
"USA300HOU_1435",17.7137105731133,2.34978040150779,0.630469365788835,3.72703342781417,0.000193746770499117,0.000323272752020603
"USA300HOU_1436",53.7931306734855,1.31571292253097,0.352828882725212,3.72903973271276,0.000192210846138633,0.000321109402359871
"USA300HOU_1437",163.482799382626,0.66475373589035,0.237279558786695,2.80156343550831,0.00508556417014771,0.00753011515921981
